"№
сертификата","Дата
внесения
в реестр","Срок
действия
сертификата","Наименование
средства (шифр)","Наименования документов, требованиям которых соответствует средство","Схема
сертификации","Испытательная
лаборатория","Орган по
сертификации","Заявитель","Реквизиты заявителя
(индекс, адрес, телефон)","Информация об окончании срока технической поддержки, полученная от заявителя"
"1260/129","20.03.2013","20.03.2019","система защиты информации от несанкционированного доступа «Страж NT», версия 2.5","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","2","ООО «ЦБИ»","ФСТЭК России","АО «ПО «Севмаш»","164500, Архангельская обл., г. Северодвинск, Архангельское шоссе, д. 58, (8184) 50-4717, (8184) 50-4618",
"1260/130","20.03.2013","20.03.2019","система защиты информации от несанкционированного доступа «Страж NT» (версия 2.5) МАВУ.00028-01","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","1","ООО «ЦБИ»","ФСТЭК России","УТ МВД России по ДФО","680038, Хабаровский край, г. Хабаровск, ул. Джамбула, д. 13, (4212) 31-9525, (4212) 56-76-90",
"1260/146/1","01.01.2007","29.03.2019","система защиты информации от несанкционированного доступа «Страж NT» (версия 2.5) МАВУ.00028-01","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","2","ООО «ЦБИ»","ФСТЭК России","ГУ МВД России по Самарской области","443068, г. Самара, ул. Соколова, дом 34, (846) 273-4726",
"1260/151/1","24.04.2013","24.04.2019","система защиты информации от несанкционированного доступа «Страж NT», версия 2.5","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","4","ООО «ЦБИ»","ФСТЭК России","НИКИРЭТ – филиал ФГУП ФНПЦ «ПО «Старт» им. М.В. Проценко»","442965, Пензенская обл., г. Заречный, Проспект Мира, корп. 1, (8412) 65-4778",
"1260/159","03.06.2013","03.06.2019","система защиты информации от несанкционированного доступа «Страж NT» (версия 2.5) МАВУ.00028-01","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","2","ООО «ЦБИ»","ФСТЭК России","АО «ФНПЦ «ПО «Старт» им. М.В.Проценко»","442960, Пензенская обл., г. Заречный, пр-т Мира, д. 1, (841-2) 23-2853",
"1260/160/1","03.06.2013","03.06.2019","система защиты информации от несанкционированного доступа «Страж NT» (версия 2.5) МАВУ.00028-01","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","1","ООО «ЦБИ»","ФСТЭК России","Управления ФСКН России по Ямало-Ненецкому автономному округу","629003, г. Салехард, ул. Чупрова, д. 31, (3499) 25-3722",
"1260/163","26.06.2013","26.06.2019","система защиты информации от несанкционированного доступа «Страж NT», версия 2.5","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","1","ООО «Безопасные информационные технологии»",,"АО «Волжский трубный завод»","404119, Волгоградская область, г. Волжский, Автодорога № 7, д. 6, (8443) 22-2102",
"1260/174","13.09.2006","13.09.2018","система защиты информации от несанкционированного доступа «Страж NT» (версия 2.5) МАВУ.00028-01","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","3","ООО «ЦБИ»","ФСТЭК России","ООО «Башнефть-Добыча»","450008, Республика Башкортостан, г. Уфа, ул. К. Маркса, д. 30, (347) 262-23-75",
"1260/175","13.09.2006","13.09.2018","система защиты информации от несанкционированного доступа «Страж NT» (версия 2.5) МАВУ.00028-01","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","1","ООО «ЦБИ»","ФСТЭК России","Волгоградское ОАО «ХИМПРОМ»","400057,  г. Волгоград, ул. Промысловая, д. 23, (347) 262-23-75",
"1260/190","13.09.2006","13.09.2018","система защиты информации от несанкционированного доступа «Страж NT» (версия 2.5) МАВУ.00028-01","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","1","ООО «ЦБИ»","ФСТЭК России","Министерство сельского хозяйства и продовольствия Удмуртской Республики","426057, г. Ижевск, ул. В. Сивкова, д. 120, (3412) 91-9501",
"1264/1/2","05.07.2007","05.07.2019","межсетевой экран Cisco ASA-5520","Соответствует требованиям документов: РД МЭ(4), ТУ","3","АО «СХК»","ФСТЭК России","АО «СХК»","636039, г. Северск Томской обл., ул. Курчатова, д. 1, (3822) 72-44-46",
"1264/1/3","05.07.2007","05.07.2019","межсетевой экран Cisco ASA-5520","Соответствует требованиям документов: РД МЭ(4), ТУ","2","ООО «Уральский завод газовых центрифуг»","ФСТЭК России","ООО «Уральский завод газовых центрифуг»","6241309, Свердловская область, г. Новоуральск, ул. Дзержинского, д. 2, (34370) 7-8005",
"1264/1/4","05.07.2016","05.07.2019","межсетевой экран Cisco ASA-5520","Соответствует требованиям документов: РД МЭ(4)","2","АО «БИТК»","ФСТЭК России","Главное управление безопасности и защиты информации Банка России","107016, г. Москва, ул. Неглинная, д. 12, (495) 771-4261",
"1290","29.11.2006","29.11.2021","широкополосный генератор радиошума малой мощности «БРИЗ»","Соответствует требованиям документов: ТУ","срок действия продлен для СЗИ, эксплуатируемых на ОИ","АО «БИТК»","ФСТЭК России","ЗАО НПЦ Фирма «НЕЛК»","109377, г. Москва, ул. 1-я Новокузьминская, дом 8/2, (495) 921-3374",
"1307/1","10.08.2011","10.08.2020","программное обеспечение Cisco IOS AES версии 12.4(9)Т1 для маршрутизаторов Cisco 2811 и Cisco 2821","Соответствует требованиям документов: РД МЭ(4)","119","АО «ЦБИ-сервис»","ФСТЭК России","ФГКУ «Федеральный центр информатизации при Центральной избирательной комиссии Российской Федерации»","109012, г. Москва, Большой Черкасский переулок, д. 9, (495) 606-8041",
"1308/1","10.08.2011","10.08.2020","программное обеспечение Cisco IOS AES версии 12.4(5b) для маршрутизаторов Cisco 3825","Соответствует требованиям документов: РД МЭ(4)","4","АО «ЦБИ-сервис»","ФСТЭК России","ФГКУ «Федеральный центр информатизации при Центральной избирательной комиссии Российской Федерации»","109012, г. Москва, Большой Черкасский переулок, д. 9, (495) 606-8041",
"1314/1","16.07.2007","16.07.2019","устройство защиты объектов информатизации от утечки информации по сети электропитания и линиям заземления (шифр «Соната-РС2»)","Соответствует требованиям документов: НМД ПЭМИН-1998, НМД ПЭМИН-2005, ТУ","срок действия продлен для СЗИ, эксплуатируемых на ОИ","АО «БИТК»","ФСТЭК России","ООО «Анна»","111141, г. Москва, ул. Плеханова, д. 15А, стр. 5, (495) 232-60-63","31.10.2022"
"1335","29.01.2007","29.01.2019","программное обеспечение для проведения сертификационных испытаний программных комплексов на отсутствие недекларированных возможностей по четвертому уровню контроля «НДВ 4.0»","Соответствует требованиям документов: РД НДВ(4)","100","АО «Лаборатория ППШ»","ФСТЭК России","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170",
"1342","21.02.2007","21.02.2019","система гарантированного уничтожения информации на машинных носителях СГУ-2","Соответствует требованиям документов: РД НДВ(2), ТУ","серия","АО «ЦБИ-сервис»","ФСТЭК России","СПб ФИЦ РАН","199178, г. Санкт–Петербург, 14 линия, д. 39, (812) 328-3311","31.12.2023"
"1353/1","11.08.2009","11.08.2018","специальное программное обеспечение межсетевого экрана «Z-2», версия 2.6","Соответствует требованиям документов: ЗБ, РД МЭ(2), РД НДВ(2), РД БИТ(ОУД4)","серия","ООО «ЦБИ»","ФСТЭК России","ЗАО «Инфосистемы Джет»","127015, г. Москва, Большая Новодмитровская ул., д. 14, стр. 1, (495) 411-76-01",
"1353/2","11.08.2009","11.08.2021","межсетевой экран «Z-2». Версия 2.6","Соответствует требованиям документов: Профили защиты СОВ(cети четвертого класса защиты. ИТ.СОВ.С4.ПЗ), ЗБ, РД МЭ(2), РД НДВ(2)","2","ООО «ЦБИ»","ФСТЭК России","ФГУП «РФЯЦ-ВНИИЭФ»","607188, Нижегородская область, г. Саров, проспект Мира, д. 37, (831) 302-9644, (831) 302-9624",
"1363","06.04.2007","06.04.2019","Трафарет","Соответствует требованиям документов: РД НДВ(2)","100","АО «Лаборатория ППШ»","ФСТЭК России","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170",
"1397/1","10.08.2011","10.08.2020","программное обеспечение Cisco IOS AES версии 12.4(11)Т для маршрутизаторов Cisco 1760","Соответствует требованиям документов: РД МЭ(4)","28","АО «ЦБИ-сервис»","ФСТЭК России","ФГКУ «Федеральный центр информатизации при Центральной избирательной комиссии Российской Федерации»","109012, г. Москва, Большой Черкасский переулок, д. 9, (495) 606-8041",
"1400","05.06.2007","05.06.2019","генератор шума «ВЕТО-М»","Соответствует требованиям документов: ТУ","срок действия продлен для СЗИ, эксплуатируемых на ОИ","АО «БИТК»","ФСТЭК России","ЗАО НПЦ Фирма «НЕЛК»","109377, г. Москва, ул. 1-я Новокузьминская, дом 8/2, (495) 921-3374",
"1401","06.06.2007","06.06.2019","специальный аппаратно-программный комплекс «Панцирь-М»","Соответствует требованиям документов: НМД ПЭМИН-1998","срок действия продлен для СЗИ, эксплуатируемых на ОИ","ЗАО «НПП «БИТ»","ФСТЭК России","ОАО «АйСиЭл-КПО ВС»","420029, г. Казань, ул. Сибирский тракт, д. 34, (843) 272-2023",
"1429/2","11.07.2007","11.07.2019","Cisco IPS 4200","Соответствует требованиям документов: ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","Екатеринбургский НТЦ ФГУП «НПП «Гамма»","АО «ЧМЗ»","427620, Удмуртская Республика, г. Глазов, ул. Белова, д. 7, (34141) 3-60-70",
"1431","13.07.2007","13.07.2019","Сфера","Соответствует требованиям документов: РД НДВ(3), РД СВТ(4)","150","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","Ассоциация «ЕВРААС»","ООО «Фирма «Новые информационные технологии в авиации»","188643, Всеволожский район, г. Всеволожск, Всеволожский пр., д. 41, офис 3, (812) 704-1813",
"1432","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","срок действия продлен для СЗИ, эксплуатируемых на ОИ","ООО «ЦБИ»","ФСТЭК России","ЗАО «Защита информации»","119192, г. Москва, Ломоносовский проспект, д. 31, корп. 2, (495) 921-3876, 8 (495) 921-3876",
"1432/1/1","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","АО «Иркутскгипродорнии»","664007, г. Иркутск, ул. Декабрьских Событий, д. 88, (3952) 26-1009",
"1432/1/2","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Территориальное управление Федеральной службы финансово-бюджетного надзора в Иркутской области","664074, г. Иркутск, ул. Академика Курчатова, д. 14, (3952) 41-2468",
"1432/1/3","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","3","АО «ИРЗ»","ООО «ЦБИ»","Администрация Главы и Правительства Удмуртской Республики","426007, г. Ижевск, ул. Пушкинская, д. 214, (3412) 49-7203",
"1432/1/4","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","АО «Иркутскгеофизика»","664039, г. Иркутск, ул. Клары Цеткин, д. 9А, а/я 36, (3952) 38-0399",
"1432/1/5","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","АО «ИРЗ»","ООО «ЦБИ»","Администрация муниципального образования «Шарканский район»","427070, Удмуртская Республика, с. Шаркан, ул. Ленина, д. 14, (34136) 3-3869",
"1432/1/6","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","2","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Управление специального обеспечения администрации города Иркутска","664025, г. Иркутск, ул. Ленина, д. 14Б, (3952) 52-0334",
"1432/1/7","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Министерство труда и занятости Иркутской области","664011, г. Иркутск, ул. Желябова, д. 8А, (3952) 33-6185",
"1432/1/8","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","АО «ИРЗ»","ООО «ЦБИ»","Администрация муниципального образования «Город Воткинск»","427430, Удмуртская Республика, г. Воткинск, ул. Ленина, д. 7, (34145) 5-2329",
"1432/1/9","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Филиал ФГУП «Ведомственная охрана железнодорожного транспорта Российской Федерации» на Восточно-Сибирской железной дороге","664005, г. Иркутск, ул. Челнокова, д. 2, (3952) 63-2921",
"1432/1/10","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ФГКУ комбинат «Прибайкалье» Управления Федерального агентства по государственным резервам по Сибирскому федеральному округу","665462, Иркутская обл., г. Усолье-Сибирское, п/о 12, а/я 24, (39543) 6-3697",
"1432/1/11","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","АО «ИРЗ»","ООО «ЦБИ»","Администрация Камбарского района Удмуртской Республики","427950, Удмуртская Республика, г. Камбарка, ул. Советская, д. 18, (34153) 3-0724",
"1432/1/12","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Филиал ОАО «Иркутская электросетевая компания» «Центральные электрические сети»","665821, Иркутская обл., г. Ангарск, ул. Б. Хмельницкого, д. 22, (3955) 50-2733",
"1432/1/13","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ФГБУ «Иркутское управление по гидрометеорологии и мониторингу окружающей среды»","664047, г. Иркутск, ул. Партизанская, д. 76, (3952) 20-9848",
"1432/1/14","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","АО «Сибирский проектно-изыскательский институт «Оргстройпроект»","665806, Иркутская обл., г. Ангарск, квартал 120, д. 27, (3955) 66-9327",
"1432/1/15","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ОГКУ «Государственный архив Иркутской области»","664047, г. Иркутск, ул. Байкальская, д. 79, (3952) 22-2905",
"1432/1/16","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Администрация муниципального образования «Заларинский район»","666322, Иркутская обл., пгт. Залари, ул. Ленина, д. 103, (3952) 2-1892",
"1432/1/17","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ФГБОУ ВПО «Байкальский государственный университет экономики и права»","664003, г. Иркутск, ул. Ленина, д. 11, (3952) 25-5550",
"1432/1/18","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Иркутский гарнизонный военный суд","664081, г. Иркутск, ул. Иркутской 30-й Дивизии, д. 28, (3952) 70-1931",
"1432/1/19","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ОАО «Международный аэропорт Иркутск»","664009, г. Иркутск, ул. Ширямова, д. 13, (3952) 26-6853",
"1432/1/20","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","2","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Восточно-Сибирское межрегиональное территориальное управление воздушного транспорта Федерального агентства воздушного транспорта","664007, г. Иркутск, ул. Декабрьских Событий, д. 97, (3952) 29-2020",
"1432/1/21","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","2","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Иркутский областной суд","664046, г. Иркутск, ул. Байкальская, д. 121, (3952) 23-0016",
"1432/1/22","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","2","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","АО «Ангарская нефтехимическая компания»","665830, Иркутская обл., г. Ангарск, (3955) 57-5235",
"1432/1/23","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","4","ОТС - филиал РТУ РЭБОТИ (г. Иркутск)","ООО «ЦБИ»","Иркутская таможня Сибирского таможенного управления Федеральной таможенной службы","664046, г. Иркутск, ул. А. Невского, д. 78, (3952) 26-1592",
"1432/1/24","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","АО «ИРЗ»","ООО «ЦБИ»","Администрация муниципального образования «Алнашский район»","427880, Удмуртская Республика, с. Алнаши, ул. Комсомольская, д. 8, (34150) 3-1145",
"1432/1/25","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","АО «ИРЗ»","ООО «ЦБИ»","Администрация муниципального образования «Сарапульский район»","427990, Удмуртская Республика, Сарапульский район, 
с. Сигаево, ул. Лермонтова, д. 30, (34147) 2-4802",
"1432/1/26","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ООО «Иркутская Энергосбытовая компания»","664033, г. Иркутск, ул. Лермонтова, д. 257, офис. 802, (3952) 79-5558",
"1432/1/27","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ФГКУ комбинат «Лена» им. В.Н. Вербицкого Росрезерва","665727, Иркутская обл., г. Братск, а/я 1907, (3953) 35-0897",
"1432/1/28","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Филиал ПАО «Иркутскэнерго» ТЭЦ-16","665651, Иркутская обл., Нижнеилимский район, г. Железногорск-Илимский, а/я 18, (3956) 62-6140",
"1432/1/29","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Филиал ОАО «ИЭСК» «Южные электрические сети»","664056, г. Иркутск, ул. Безбокова, д. 38, (3952) 79-3285",
"1432/1/30","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Иркутский филиал Макрорегионального филиала «Сибирь» ПАО «Ростелеком»","664011, г. Иркутск, ул. Пролетарская, д. 12, (3952) 20-1665",
"1432/1/31","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Министерство здравоохранения Иркутской области","664003, г. Иркутск, ул. Карла Маркса, д. 29, (3952) 24-0984",
"1432/1/32","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ФБУ «Администрация Байкало-Ангарского бассейна внутренних водных путей»","642025, г. Иркутск, ул. Свердлова, д. 1, (3952) 34-2470",
"1432/1/33","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Администрация муниципального района «Качугский район» Иркутской области","666203, Иркутская обл., п. Качуг, ул. Ленинских событий, д. 29, (39540) 3-1433",
"1432/1/34","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Филиал ОАО «ИЭСК» «Западные электрические сети»","665253, Иркутская обл., г. Тулун, пер. Энергетиков, д. 6, (39530) 2-7305",
"1432/1/35","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Филиал ПАО «Иркутскэнерго» Братская ГЭС","665709, Иркутская обл., г. Братск, а/я 783",
"1432/1/36","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ФГБУН «Иркутский институт химии им. А.Е. Фаворского» Сибирского отделения РАН","664033, г. Иркутск, ул. Фаворского, д. 1, (3952) 428225",
"1432/1/37","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Филиал ПАО «Иркутскэнерго» ТЭЦ-16","665651, Иркутская обл., Нижнеилимский район, г. Железногорск-Илимский, а/я 18, (3956) 62-6140",
"1432/1/38","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","3","Волгоградский филиал ФКУ ГЦИТОиС ФСИН России","ООО «ЦБИ»","Управление ФКУ УОДОП ФСИН России по Республике Адыгея","385001, г. Майкоп, ул. Привокзальная, д. 108, (8772) 52-6771",
"1432/1/39","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Администрация города Усолье-Сибирское Иркутской области","665452, Иркутская обл., г. Усолье-Сибирское, ул. Ватутина, д. 10, (3954) 36-3125",
"1432/1/40","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","АО «ИРЗ»","ООО «ЦБИ»","Администрация муниципального образования «Увинский район» Удмуртской Республики","427260, Удмуртская Республика, Увинский р-н, п. Ува, ул. Калинина, д. 19, (34130) 5-1440",
"1432/1/41","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО «ИТС»","ООО «ЦБИ»","Администрация муниципального района Усольского районного муниципального образования","665452, Иркутская обл., г. Усолье-Сибирское, ул. Свердлова, д. 1, (3954) 36-8650",
"1432/1/42","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","АО «ИРЗ»","ООО «ЦБИ»","Администрация муниципального образования «Глазовский район» Удмуртской Республики","427621, Удмуртская Республика, г. Глазов, ул. М. Гвардии, д. 22, (34141) 2-2575",
"1432/1/43","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Областное ГКУ «Центр по гражданской обороне и защите населения и территорий от чрезвычайных ситуаций»","664011, г. Иркутск, ул. Ударника, д. 4А, (3952) 24-0440",
"1432/1/44","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","АО «ИРЗ»","ООО «ЦБИ»","Администрация муниципального образования «Город Глазов» 
Удмуртской Республики","427620, Удмуртская Республика, г. Глазов, ул. Динамо, д. 6, (34141) 6-6902",
"1432/1/45","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Министерство финансов Иркутской области","664027, г. Иркутск, ул. Ленина, д. 1А, (3952) 25-6340",
"1432/1/46","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Филиал ОАО «ИЭСК» «Восточные электрические сети»","664047, г. Иркутск, проезд Трудовой, д. 40, (3952) 79-4859",
"1432/1/47","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ЗАО «Электросетьпроект»","664033, г. Иркутск, ул. Фаворского, д. 5, (3952) 70-3668",
"1432/1/48","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","АО «ИРЗ»","ООО «ЦБИ»","Администрация муниципального образования «Воткинский район» Удмуртской Республики","427431, Удмуртская Республика, г. Воткинск, ул. Красноармейская, д. 43А, (34145) 5-1552",
"1432/1/49","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ФБУЗ «Центр гигиены и эпидемиологии в Иркутской области»","664047, г. Иркутск, ул. Трилиссера, д. 51, (3952) 22-0401",
"1432/1/50","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ООО по защите информации «Секрет-Сервис»","664074, г. Иркутск, ул. Железнодорожная, д. 100, к. 61, (3952) 70-8782, 59-1525",
"1432/1/51","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Прибайкальский территориальный отдел Управления Росрезерва по Сибирскому федеральному округу","664011, г. Иркутск, ул. Карла Маркса, д. 31, (3952) 24-2336",
"1432/1/52","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","2","ООО ЦСБ «ЩИТ-ИНФОРМ»","ООО «ЦБИ»","Управление ФКУ УОДОП ФСИН России по Курской области","305000, г. Курск, ул. Димитрова, д. 6, (4712) 55-6338",
